application	variant	process	deviceStartupMs	preparationMs	coldWallMs	teardownMs	peakProcessRssBytes	allocatedBufferBytes
image_edges	previous	0	76.57516999999999	6.395955999999984	5.4523690000000045	2.2889710000000036	178769920	1310752
image_edges	previous	1	68.16256600000001	5.630905000000013	4.419564000000008	1.6654460000000029	170020864	1310752
image_edges	previous	2	66.245956	6.360399000000001	5.571382999999997	1.594493	171675648	1310752
image_edges	candidate	0	63.25876000000001	4.716141999999991	4.1313710000000015	1.8609450000000152	177729536	1310752
image_edges	candidate	1	68.35589999999999	6.585082	5.176800000000014	2.265045999999984	170455040	1310752
image_edges	candidate	2	62.22156699999999	4.748272999999983	4.029257999999999	1.6342779999999948	170348544	1310752
heat_diffusion	previous	0	64.22171399999999	6.545817999999997	5.569850000000002	1.7924059999999997	171315200	1310752
heat_diffusion	previous	1	66.61991100000002	6.591884999999991	5.873300999999998	1.8385729999999967	172482560	1310752
heat_diffusion	previous	2	71.702052	5.542799000000002	4.500375999999989	1.5636749999999893	172220416	1310752
heat_diffusion	candidate	0	65.32128499999999	4.5189510000000155	4.289628999999991	1.5060370000000205	179122176	1310752
heat_diffusion	candidate	1	68.33202499999999	4.714679000000018	4.6629819999999995	2.0316660000000013	171724800	1310752
heat_diffusion	candidate	2	68.668559	4.656739999999985	4.5966669999999965	1.6260919999999999	180363264	1310752
holoscript_lif	previous	0	67.84594	7.191214000000002	6.163848999999999	2.198059999999998	178831360	2097216
holoscript_lif	previous	1	70.057474	7.276004	4.629889999999989	1.704671000000019	182321152	2097216
holoscript_lif	previous	2	69.55017900000001	7.328401999999983	5.853474000000006	1.7273030000000063	179044352	2097216
holoscript_lif	candidate	0	72.145788	5.1454809999999895	4.7314110000000085	1.6885000000000332	184291328	2097216
holoscript_lif	candidate	1	70.4	7.1655059999999935	6.035126999999989	1.7184859999999844	182759424	2097216
holoscript_lif	candidate	2	78.888106	5.102579999999989	4.5030109999999866	1.7523199999999974	178577408	2097216
