application	variant	process	deviceStartupMs	preparationMs	coldWallMs	teardownMs	peakProcessRssBytes	allocatedBufferBytes
image_edges	previous	0	74.52246600000001	4.971201000000008	4.111511999999976	2.063445999999999	179609600	1310752
image_edges	previous	1	69.893629	6.449846000000008	5.215181000000001	2.088864000000001	174751744	1310752
image_edges	previous	2	67.215286	5.098441000000008	3.9510510000000068	2.5793370000000095	174526464	1310752
image_edges	candidate	0	68.95141500000001	6.996705999999989	5.8798730000000035	5.29320800000005	177553408	1310752
image_edges	candidate	1	81.63524100000001	5.184553000000022	4.394024999999999	2.682341000000008	175747072	1310752
image_edges	candidate	2	72.29647400000002	6.451098999999999	5.491020999999989	2.136833999999965	174714880	1310752
heat_diffusion	previous	0	66.97373	4.82612899999998	4.591816999999992	1.8179430000000139	175087616	1310752
heat_diffusion	previous	1	71.12415600000001	6.535957999999994	5.686387999999994	2.064157000000023	178397184	1310752
heat_diffusion	previous	2	70.171874	5.0966379999999845	4.5383159999999805	2.201135000000022	177393664	1310752
heat_diffusion	candidate	0	68.429282	5.697238999999996	4.889386999999999	1.942879000000005	177975296	1310752
heat_diffusion	candidate	1	71.23025700000001	7.282693999999992	5.799129999999991	2.3208610000000363	176865280	1310752
heat_diffusion	candidate	2	71.191775	6.599007	7.057360000000017	1.8273509999999646	180080640	1310752
holoscript_lif	previous	0	74.25434100000001	5.194581999999997	4.431704999999994	2.399128000000019	181760000	2097216
holoscript_lif	previous	1	74.02113299999999	7.177927000000011	5.864503999999982	2.006768999999963	187080704	2097216
holoscript_lif	previous	2	71.488994	7.162187999999986	5.721124000000003	2.434123999999997	183762944	2097216
holoscript_lif	candidate	0	63.573318000000015	5.268591999999984	4.5689940000000036	2.373359999999934	180068352	2097216
holoscript_lif	candidate	1	64.18613200000001	7.279687999999993	5.119980999999996	2.3512269999999944	180752384	2097216
holoscript_lif	candidate	2	66.98476199999999	5.292506000000003	4.7402070000000265	2.429155000000037	180412416	2097216
