application	metric	quantile	previous_ms	candidate_ms	previous_over_candidate
image_edges	wallMs	p50Ms	0.5404280000000199	0.544195000000002	0.9930778489328603
image_edges	wallMs	p95Ms	0.8070200000000227	0.9045040000000313	0.8922238044276143
image_edges	wallMs	p99Ms	1.1384840000000054	1.2310279999999807	0.9248238057948505
image_edges	cpuMs	p50Ms	0.453	0.456	0.993421052631579
image_edges	cpuMs	p95Ms	1.059	1.19	0.8899159663865546
image_edges	cpuMs	p99Ms	1.854	1.826	1.0153340635268346
image_edges	encode	p50Ms	0.08368699999999762	0.08401900000001206	0.9960485128362111
image_edges	encode	p95Ms	0.12678900000000226	0.14149699999995846	0.896054333307699
image_edges	encode	p99Ms	0.20675900000000524	0.22617600000000948	0.914150926711926
image_edges	submitWait	p50Ms	0.16735499999998638	0.16844800000001214	0.9935113506837381
image_edges	submitWait	p95Ms	0.2573150000000055	0.27333499999997457	0.9413906012769292
image_edges	submitWait	p99Ms	0.32466199999998935	0.3141619999999534	1.0334222471210315
image_edges	readback	p50Ms	0.023574999999993906	0.0236850000000004	0.995355710364936
image_edges	readback	p95Ms	0.0362180000000194	0.05265900000000556	0.6877836647109815
image_edges	readback	p99Ms	0.4940199999999777	0.5694230000000289	0.867579988865839
image_edges	total	p50Ms	0.4072570000000155	0.4091109999999958	0.9954682225606736
image_edges	total	p95Ms	0.59931899999998	0.680390999999986	0.8808449847220088
image_edges	total	p99Ms	0.9768000000000256	1.0676610000000437	0.9148971443182674
heat_diffusion	wallMs	p50Ms	0.6691700000000083	0.651787000000013	1.0266697556103372
heat_diffusion	wallMs	p95Ms	1.1378019999999651	1.0892319999999813	1.0445910513095324
heat_diffusion	wallMs	p99Ms	1.3963689999999929	1.3872929999999997	1.0065422372923334
heat_diffusion	cpuMs	p50Ms	0.541	0.523	1.0344168260038242
heat_diffusion	cpuMs	p95Ms	1.247	1.39	0.8971223021582735
heat_diffusion	cpuMs	p99Ms	2.464	3.082	0.799480856586632
heat_diffusion	encode	p50Ms	0.15394999999995207	0.13990300000000389	1.1004052808013252
heat_diffusion	encode	p95Ms	0.24705499999998892	0.20898400000004358	1.1821718409061814
heat_diffusion	encode	p99Ms	0.43497899999999845	0.4202720000000113	1.034994003883168
heat_diffusion	submitWait	p50Ms	0.22929199999998673	0.22681700000003957	1.0109118805025492
heat_diffusion	submitWait	p95Ms	0.3702470000000062	0.368013000000019	1.0060704377290668
heat_diffusion	submitWait	p99Ms	0.5001120000000014	0.5011939999999981	0.9978411553210998
heat_diffusion	readback	p50Ms	0.023463999999989937	0.023333999999977095	1.005571269392859
heat_diffusion	readback	p95Ms	0.053579999999954	0.04984300000000985	1.0749754228265436
heat_diffusion	readback	p99Ms	0.4905339999999683	0.5058930000000146	0.9696398250221967
heat_diffusion	total	p50Ms	0.5387440000000083	0.5221129999999903	1.0318532578197026
heat_diffusion	total	p95Ms	0.9701670000000036	0.8801869999999781	1.1022282764912772
heat_diffusion	total	p99Ms	1.1719659999999976	1.151237999999978	1.018004965089773
holoscript_lif	wallMs	p50Ms	0.8461130000000026	0.8305139999999938	1.0187823444276785
holoscript_lif	wallMs	p95Ms	1.3462260000000015	1.2812430000000177	1.0507187161217528
holoscript_lif	wallMs	p99Ms	2.0697169999999687	1.6645149999999944	1.2434354751984666
holoscript_lif	cpuMs	p50Ms	0.699	0.694	1.0072046109510087
holoscript_lif	cpuMs	p95Ms	1.627	1.572	1.0349872773536894
holoscript_lif	cpuMs	p99Ms	3.725	3.213	1.1593526299408652
holoscript_lif	encode	p50Ms	0.08366699999999128	0.08295699999996486	1.0085586508676387
holoscript_lif	encode	p95Ms	0.14010299999995368	0.12704899999999952	1.1027477587383938
holoscript_lif	encode	p99Ms	0.20728000000002567	0.21030600000000277	0.9856114423745539
holoscript_lif	submitWait	p50Ms	0.21658800000000156	0.21106700000007095	1.0261575708184072
holoscript_lif	submitWait	p95Ms	0.4353990000000181	0.41867899999999736	1.0399351292995846
holoscript_lif	submitWait	p99Ms	0.5996489999999994	0.5413389999999936	1.1077143896892825
holoscript_lif	readback	p50Ms	0.03511599999995951	0.03464499999995496	1.0135950353587866
holoscript_lif	readback	p95Ms	0.07423999999997477	0.05692700000003015	1.3041263372377863
holoscript_lif	readback	p99Ms	0.11785200000008444	0.08121200000005047	1.4511648524849925
holoscript_lif	total	p50Ms	0.5908830000000194	0.5802630000000022	1.0183020457965046
holoscript_lif	total	p95Ms	1.0370730000000208	0.9943920000000048	1.0429217049212138
holoscript_lif	total	p99Ms	1.4584469999999783	1.2808820000000196	1.1386271334907947
