application	metric	quantile	previous_ms	candidate_ms	previous_over_candidate
image_edges	wallMs	p50Ms	0.6303890000000365	0.4907349999999724	1.2845812913284602
image_edges	wallMs	p95Ms	0.8615849999999909	0.8461860000000456	1.0181981266529398
image_edges	wallMs	p99Ms	1.250630000000001	1.0383390000000077	1.2044524957648628
image_edges	cpuMs	p50Ms	0.557	0.397	1.4030226700251889
image_edges	cpuMs	p95Ms	1.14	1.009	1.1298315163528245
image_edges	cpuMs	p99Ms	2.491	2.306	1.080225498699046
image_edges	encode	p50Ms	0.0946580000000381	0.04329199999997968	2.1865009701580553
image_edges	encode	p95Ms	0.13237000000003718	0.07260700000000497	1.823102455686478
image_edges	encode	p99Ms	0.20944500000001653	0.1515060000000119	1.3824204981980917
image_edges	submitWait	p50Ms	0.18018999999998186	0.1663239999999746	1.0833674033814085
image_edges	submitWait	p95Ms	0.2765120000000252	0.24347899999997935	1.1356708381422982
image_edges	submitWait	p99Ms	0.3353129999999851	0.32275899999996227	1.0388958944600284
image_edges	readback	p50Ms	0.026470000000017535	0.02186100000000124	1.2108320753861228
image_edges	readback	p95Ms	0.04863199999999779	0.051215999999953965	0.9495470165581361
image_edges	readback	p99Ms	0.4832120000000373	0.45705199999997603	1.0572363757298133
image_edges	total	p50Ms	0.47383300000001327	0.3614819999999668	1.3108066238431149
image_edges	total	p95Ms	0.6721880000000056	0.6562680000000114	1.024258382246268
image_edges	total	p99Ms	1.0181010000000015	0.8734180000000151	1.1656514979081996
heat_diffusion	wallMs	p50Ms	0.6658459999999877	0.5596049999999764	1.1898499834705119
heat_diffusion	wallMs	p95Ms	1.1517430000000104	0.9728549999999814	1.1838794064891813
heat_diffusion	wallMs	p99Ms	1.4205590000000257	1.232385000000022	1.1526909204509956
heat_diffusion	cpuMs	p50Ms	0.532	0.418	1.272727272727273
heat_diffusion	cpuMs	p95Ms	1.399	1.121	1.247992863514719
heat_diffusion	cpuMs	p99Ms	2.743	2.165	1.2669745958429561
heat_diffusion	encode	p50Ms	0.1436909999999898	0.05973299999999426	2.405554718497373
heat_diffusion	encode	p95Ms	0.25479100000001154	0.10094099999997752	2.52415767626701
heat_diffusion	encode	p99Ms	0.47119899999995596	0.20973599999996395	2.2466290956251522
heat_diffusion	submitWait	p50Ms	0.2314569999999776	0.21973400000001675	1.0533508696877132
heat_diffusion	submitWait	p95Ms	0.3666020000000003	0.31524400000000696	1.162915075306722
heat_diffusion	submitWait	p99Ms	0.4978990000000181	0.45986799999997174	1.0826998182088092
heat_diffusion	readback	p50Ms	0.02379400000000942	0.02168100000000095	1.0974586043083057
heat_diffusion	readback	p95Ms	0.057288000000028205	0.05089599999996608	1.1255894372851774
heat_diffusion	readback	p99Ms	0.5326749999999834	0.4446890000000394	1.1978596277396925
heat_diffusion	total	p50Ms	0.5348390000000336	0.43005099999999175	1.2436641235575405
heat_diffusion	total	p95Ms	0.9740079999999693	0.8044869999999946	1.210719377690349
heat_diffusion	total	p99Ms	1.1520140000000083	0.9766520000000014	1.179554232213733
holoscript_lif	wallMs	p50Ms	0.8344040000000632	0.7918729999999528	1.0537093700632716
holoscript_lif	wallMs	p95Ms	1.2953939999999875	1.3022770000000037	0.9947146421229768
holoscript_lif	wallMs	p99Ms	1.6198849999999538	1.5613549999999918	1.0374866702319219
holoscript_lif	cpuMs	p50Ms	0.691	0.653	1.0581929555895864
holoscript_lif	cpuMs	p95Ms	1.485	1.611	0.9217877094972068
holoscript_lif	cpuMs	p99Ms	3.172	3.14	1.0101910828025478
holoscript_lif	encode	p50Ms	0.08176400000002104	0.05115699999998924	1.598295443439573
holoscript_lif	encode	p95Ms	0.12302199999999175	0.0842689999999493	1.4598725509981816
holoscript_lif	encode	p99Ms	0.19101000000000568	0.1688490000000229	1.1312474459427049
holoscript_lif	submitWait	p50Ms	0.2170590000000061	0.2091649999999845	1.0377405397653632
holoscript_lif	submitWait	p95Ms	0.42346900000006826	0.41478200000005927	1.0209435317829794
holoscript_lif	submitWait	p99Ms	0.5171359999999936	0.4959349999999745	1.042749553873028
holoscript_lif	readback	p50Ms	0.035306999999988875	0.034415000000024065	1.0259189306977825
holoscript_lif	readback	p95Ms	0.04244000000005599	0.050244000000020606	0.8446779714998524
holoscript_lif	readback	p99Ms	0.08512099999995826	0.08323700000005374	1.0226341650936879
holoscript_lif	total	p50Ms	0.584842999999978	0.5421119999999746	1.0788231952069045
holoscript_lif	total	p95Ms	0.9399529999999459	0.9742479999999887	0.9647984907333212
holoscript_lif	total	p99Ms	1.1795749999999998	1.1857469999999921	0.9947948424073666
