application	variant	process	deviceStartupMs	preparationMs	coldWallMs	teardownMs	peakProcessRssBytes	allocatedBufferBytes
image_edges	previous	0	79.65108099999999	6.330923999999982	5.231609999999989	2.71292799999992	179449856	1310752
image_edges	previous	1	71.2352	6.39187800000002	5.130970000000019	2.5828619999999773	175235072	1310752
image_edges	previous	2	67.04832100000002	6.63306399999999	5.414435000000026	1.9833409999999958	174309376	1310752
image_edges	candidate	0	70.61917	5.158051	3.976472000000001	2.664045999999985	180092928	1310752
image_edges	candidate	1	67.18536100000001	4.642669000000012	4.831455000000005	2.519984000000022	175288320	1310752
image_edges	candidate	2	66.82600099999999	6.40772800000002	5.385670000000005	2.2335840000000076	173944832	1310752
heat_diffusion	previous	0	70.853337	6.470978000000002	6.49242799999999	2.6005150000000867	178868224	1310752
heat_diffusion	previous	1	74.919564	4.7244429999999795	4.829870999999997	2.53491200000002	180600832	1310752
heat_diffusion	previous	2	69.456378	6.367332000000005	5.875955000000005	2.5555510000000368	177999872	1310752
heat_diffusion	candidate	0	70.16442599999999	9.851334000000008	5.657713000000001	1.9699260000000436	175058944	1310752
heat_diffusion	candidate	1	72.87579000000001	6.523907000000008	5.727034000000003	2.0094609999999875	176738304	1310752
heat_diffusion	candidate	2	66.061432	6.506414000000007	5.796525000000003	2.735800999999981	177668096	1310752
holoscript_lif	previous	0	69.99527099999999	5.138212999999979	4.493256000000002	1.9240899999999783	187215872	2097216
holoscript_lif	previous	1	65.329642	7.04163299999999	5.7962129999999945	2.095011999999997	181329920	2097216
holoscript_lif	previous	2	73.08685200000001	4.957500999999979	4.357839999999982	2.4529469999999947	186646528	2097216
holoscript_lif	candidate	0	65.236753	5.228583000000015	5.342959000000008	2.5296220000000176	179683328	2097216
holoscript_lif	candidate	1	74.71379700000001	7.122264999999999	5.965282000000002	2.318102999999951	182321152	2097216
holoscript_lif	candidate	2	71.82800499999999	5.1109500000000025	4.855919	2.0536839999999756	180326400	2097216
