case	exit	error
default	1	UnsupportedPlatform
zero	1	InvalidArgument
missing	1	MissingArgument
unknown	1	UnknownArgument
negative	1	InvalidCharacter
overflow	1	Overflow
corruption	1	UnsupportedPlatform
too_many	1	InvalidArgument
zero_bytes	1	InvalidArgument
missing_bytes	1	MissingArgument
too_large	1	InvalidArgument
repeated_bytes	1	UnsupportedPlatform
