round	firstVariant	application	metric	quantile	baselineValue	candidateValue	maximumRegression	regressionPassed	direction	relativeDifference
0	baseline	heat_diffusion	preparationMs	p95Ms	9.983472999999975	11.365346999999986	0.05	False	reverse	0.1384161603882752
0	baseline	heat_diffusion	preparationMs	p99Ms	9.983472999999975	11.365346999999986	0.05	False	reverse	0.1384161603882752
0	baseline	heat_diffusion	teardownMs	p50Ms	1.902355	1.871054000000015	0.05	True	reverse	-0.0164538164538085
0	baseline	heat_diffusion	teardownMs	p95Ms	2.4480310000000145	2.682442999999978	0.05	False	reverse	0.09575532335986026
0	baseline	heat_diffusion	teardownMs	p99Ms	2.4480310000000145	2.682442999999978	0.05	False	reverse	0.09575532335986026
0	baseline	heat_diffusion	coldWallMs	p50Ms	4.3777749999999855	4.721143000000012	0.05	False	reverse	0.07843436448881635
0	baseline	heat_diffusion	coldWallMs	p95Ms	6.616484000000014	7.0580539999999985	0.05	False	reverse	0.06673786258683356
0	baseline	heat_diffusion	coldWallMs	p99Ms	6.616484000000014	7.0580539999999985	0.05	False	reverse	0.06673786258683356
0	baseline	heat_diffusion	peakProcessRssBytes	p50Ms	154497024	156704768	0.1	True	reverse	0.014289880431612723
0	baseline	heat_diffusion	peakProcessRssBytes	p95Ms	159268864	159891456	0.1	True	reverse	0.003909062853615808
0	baseline	heat_diffusion	peakProcessRssBytes	p99Ms	159268864	159891456	0.1	True	reverse	0.003909062853615808
0	baseline	heat_diffusion	allocatedBufferBytes	p50Ms	1310752	1310752	0.1	True	reverse	0.0
0	baseline	heat_diffusion	allocatedBufferBytes	p95Ms	1310752	1310752	0.1	True	reverse	0.0
0	baseline	heat_diffusion	allocatedBufferBytes	p99Ms	1310752	1310752	0.1	True	reverse	0.0
0	baseline	heat_diffusion	coldCpuMs	p50Ms	3.91	4.19	0.1	True	reverse	0.07161125319693107
0	baseline	heat_diffusion	coldCpuMs	p95Ms	6.082	6.758	0.1	False	reverse	0.11114764879973693
0	baseline	heat_diffusion	coldCpuMs	p99Ms	6.082	6.758	0.1	False	reverse	0.11114764879973693
