application	variant	process	deviceStartupMs	preparationMs	coldWallMs	teardownMs	peakProcessRssBytes	allocatedBufferBytes
image_edges	previous	0	78.78992699999999	6.944347999999991	6.341791999999998	2.3448149999999828	178794496	1310752
image_edges	previous	1	77.84432600000001	6.994843000000003	5.3058619999999905	1.897312999999997	169558016	1310752
image_edges	previous	2	71.387758	6.659661999999997	5.555822000000006	1.8504949999999951	169902080	1310752
image_edges	candidate	0	66.416615	6.574761999999993	5.257069999999999	2.2872970000000237	178495488	1310752
image_edges	candidate	1	73.089943	4.613968999999997	4.479586000000012	1.884568999999999	166830080	1310752
image_edges	candidate	2	72.403761	6.493399000000011	5.7679119999999955	2.227345000000014	170397696	1310752
heat_diffusion	previous	0	72.571136	9.87545799999998	4.994094999999987	1.9833549999999889	172785664	1310752
heat_diffusion	previous	1	72.73381199999999	4.923260999999997	4.624989999999997	1.7935469999999896	170422272	1310752
heat_diffusion	previous	2	75.775721	6.404260999999991	5.705163999999996	1.7838489999999751	171261952	1310752
heat_diffusion	candidate	0	71.996744	6.643540999999999	6.073377000000022	1.8819640000000106	170254336	1310752
heat_diffusion	candidate	1	76.86069400000001	6.522402999999997	6.21817999999999	1.8301559999999881	170774528	1310752
heat_diffusion	candidate	2	77.769054	4.8994069999999965	4.6779900000000225	1.8019840000000045	171909120	1310752
holoscript_lif	previous	0	72.57234799999999	8.013110000000012	6.28491600000001	2.3277630000000045	177483776	2097216
holoscript_lif	previous	1	72.597956	5.475531999999987	4.766946999999988	1.8843889999999988	180097024	2097216
holoscript_lif	previous	2	77.29749699999999	5.339265000000012	5.201555000000013	2.831111999999962	178966528	2097216
holoscript_lif	candidate	0	73.834946	7.434640999999999	5.133147000000008	2.54042400000003	178745344	2097216
holoscript_lif	candidate	1	73.93553600000001	5.179362999999995	4.757017999999988	2.4257579999999734	183537664	2097216
holoscript_lif	candidate	2	77.08658999999999	5.8729999999999905	4.765984999999972	2.0069599999999923	185266176	2097216
