sample	recordWallMs	recordCpuMs	finishAndCleanupMs
0	0.135926008	0.136138000	0.015949965
1	0.134402990	0.134614000	0.015949965
2	0.128942966	0.129144000	0.015269041
3	0.132840157	0.133051000	0.015309095
4	0.129714966	0.129915000	0.019806862
5	0.128711939	0.128924000	0.015880108
6	0.130496025	0.130707000	0.014977932
7	0.135405064	0.135606000	0.015028000
8	0.134462833	0.134695000	0.015649080
9	0.131909132	0.132120000	0.015670061
10	0.132148981	0.132360000	0.016180992
11	0.130295992	0.130507000	0.015218973
12	0.128532171	0.128743000	0.017552853
13	0.133942127	0.134153000	0.015909910
14	0.412155867	0.408662000	0.048310995
15	0.287631989	0.288135000	0.035095930
16	0.280958891	0.281392000	0.033543110
17	0.261212111	0.261564000	0.011410952
18	0.095960140	0.096102000	0.011511087
19	0.096000910	0.096152000	0.011212111
20	0.093356133	0.093487000	0.011361122
21	0.093827009	0.093978000	0.011551857
22	0.091332197	0.091473000	0.012533903
23	0.098424911	0.098566000	0.011482000
24	0.093887091	0.094038000	0.011601925
25	0.098185062	0.098336000	0.011821985
26	0.096752882	0.096903000	0.011151075
27	0.099526882	0.099668000	0.011041164
28	0.097844124	0.097995000	0.011331081
29	0.097282887	0.097424000	0.011692047
30	0.096681833	0.096823000	0.011701822
31	0.091612101	0.091764000	0.015830040
32	0.098195076	0.098336000	0.011601925
33	0.099137068	0.099288000	0.011311054
34	0.096933126	0.097083000	0.011230946
35	0.095068932	0.095220000	0.010900974
36	0.095410109	0.095551000	0.011301041
37	0.098355055	0.098497000	0.011360884
38	0.096561909	0.096703000	0.011191130
39	0.092583895	0.092715000	0.015328884
40	0.090650082	0.090792000	0.010890007
41	0.100720167	0.100860000	0.010649920
42	0.097845078	0.097986000	0.011901855
43	0.097353935	0.097504000	0.011562109
44	0.095118999	0.095270000	0.010750055
45	0.099307060	0.099458000	0.012173176
46	0.098756075	0.098907000	0.011431932
47	0.093055010	0.093207000	0.016360998
48	0.092062950	0.092215000	0.010860205
49	0.098145008	0.098296000	0.011522055
50	0.099236965	0.099378000	0.011121035
