metric	quantile	previous_ms	candidate_ms	previous_over_candidate
recordWallMs	p50Ms	0.101080894	0.09184289	1.10058485746692
recordWallMs	p95Ms	0.106179953	0.09823513	1.0808755788280626
recordWallMs	p99Ms	0.123251915	0.134332895	0.9175110459727679
recordCpuMs	p50Ms	0.101231	0.091984	1.1005283527570013
recordCpuMs	p95Ms	0.106361	0.098406	1.0808385667540596
recordCpuMs	p99Ms	0.123523	0.134485	0.918489050823512
finishAndCleanupMs	p50Ms	0.010921001	0.010841131	1.0073673125064164
finishAndCleanupMs	p95Ms	0.011862993	0.012131929	0.9778323793355533
finishAndCleanupMs	p99Ms	0.014145851	0.015949965	0.8868891561831013
