sample	recordWallMs	recordCpuMs	finishAndCleanupMs
0	0.102612972	0.102755000	0.011060953
1	0.106240034	0.106401000	0.011492014
2	0.103033781	0.103165000	0.016110897
3	0.101551056	0.101703000	0.011090994
4	0.105128050	0.105269000	0.011090994
5	0.104986906	0.105128000	0.011321068
6	0.110708952	0.110849000	0.011581898
7	0.106150150	0.106291000	0.010839939
8	0.105227947	0.105379000	0.011160851
9	0.106610775	0.106762000	0.011230946
10	0.102402925	0.102544000	0.015709877
11	0.102011919	0.102163000	0.011372089
12	0.105278015	0.105430000	0.010860920
13	0.105328083	0.105470000	0.011050940
14	0.106330872	0.106491000	0.013345003
15	0.105489016	0.105630000	0.011922121
16	0.104316950	0.104467000	0.010951042
17	0.107773066	0.107904000	0.010839939
18	0.103625059	0.103756000	0.016650915
19	0.103445053	0.103586000	0.011322021
20	0.107442141	0.107593000	0.011170864
21	0.103674889	0.103827000	0.010589838
22	0.106679916	0.106822000	0.010870218
23	0.110648870	0.110790000	0.011240959
24	0.103394985	0.103555000	0.011311054
25	0.100790024	0.100931000	0.011492014
26	0.106220007	0.106361000	0.011641979
27	0.106631041	0.106782000	0.011842966
28	0.102794170	0.102924000	0.012142897
29	0.103625059	0.103766000	0.010519981
30	0.104497194	0.104648000	0.011332035
31	0.104475975	0.104618000	0.011301041
32	0.104006052	0.104157000	0.012153149
33	0.104196072	0.104337000	0.011512041
34	0.103404999	0.103556000	0.011430979
35	0.104476929	0.104628000	0.010910988
36	0.107511997	0.107643000	0.011350870
37	0.106750965	0.106882000	0.011250973
38	0.106560946	0.106702000	0.010851145
39	0.107040882	0.107183000	0.010879993
40	0.109877110	0.110018000	0.010980844
41	0.107272148	0.107413000	0.011301994
42	0.100147963	0.100290000	0.015740156
43	0.101670980	0.101823000	0.010529995
44	0.107292175	0.107443000	0.010840893
45	0.108914852	0.109066000	0.011061192
46	0.105317831	0.105459000	0.011311054
47	0.104476929	0.104618000	0.015488863
48	0.108735085	0.108886000	0.012683868
49	0.106920958	0.107062000	0.011211157
50	0.104016066	0.104157000	0.018084049
51	0.103504896	0.103656000	0.011432171
52	0.105448008	0.105599000	0.010790110
53	0.106329918	0.106471000	0.010700941
54	0.102972984	0.103105000	0.010900021
55	0.105890036	0.106020000	0.011481047
56	0.105829000	0.105970000	0.010810852
57	0.109495878	0.109647000	0.010770082
58	0.101031065	0.101212000	0.016822100
59	0.100548983	0.100701000	0.011161089
60	0.104437113	0.104588000	0.010529995
61	0.106631041	0.106772000	0.010560036
62	0.106861115	0.107013000	0.011261940
63	0.105497837	0.105630000	0.011030912
64	0.106661081	0.106801000	0.011682034
65	0.103694916	0.103836000	0.012454033
66	0.403409004	0.397562000	0.040756941
67	0.316766977	0.317410000	0.033442974
68	0.305645943	0.306129000	0.038052082
69	0.275609016	0.275981000	0.013736010
70	0.108785152	0.108956000	0.011230946
71	0.106150150	0.106290000	0.011160851
72	0.106491089	0.106631000	0.011380911
73	0.106861115	0.107012000	0.011512041
74	0.111168861	0.111331000	0.010989904
75	0.103154898	0.103326000	0.012183189
76	0.106810808	0.106952000	0.012543917
77	0.104767084	0.104928000	0.012573004
78	0.102051973	0.102203000	0.010580063
79	0.102783203	0.102925000	0.011511087
80	0.102262974	0.102403000	0.011271954
81	0.103123903	0.103275000	0.011451960
82	0.102544069	0.102674000	0.011732101
83	0.104016066	0.104167000	0.011220932
84	0.101461172	0.101612000	0.011831999
85	0.100449085	0.100600000	0.011141062
