sample	recordWallMs	recordCpuMs	finishAndCleanupMs
0	0.050505877	0.050726000	0.006292105
1	0.043751955	0.044003000	0.006171942
2	0.043683052	0.043883000	0.008796930
3	0.043491840	0.043733000	0.006011963
4	0.043011189	0.043221000	0.005881071
5	0.047729969	0.047931000	0.006102085
6	0.089057922	0.085932000	0.009869099
7	0.050995827	0.051246000	0.006332159
8	0.045374870	0.045586000	0.006473064
9	0.055434942	0.055655000	0.006381989
10	0.043551922	0.043773000	0.006031036
11	0.043711901	0.043923000	0.008567095
12	0.043591976	0.043823000	0.006052017
13	0.043843031	0.044053000	0.006281853
14	0.051436901	0.051648000	0.006653070
15	0.044072866	0.044283000	0.005961180
16	0.043262005	0.043472000	0.005711079
17	0.045876026	0.046087000	0.006101131
18	0.043152094	0.043372000	0.005981207
19	0.046808004	0.047028000	0.010810852
20	0.043903112	0.044124000	0.006051779
21	0.042569876	0.042791000	0.006021976
22	0.048110962	0.048321000	0.006302118
23	0.043201923	0.043412000	0.006302118
24	0.047469139	0.047690000	0.006112099
25	0.051806927	0.052028000	0.006282091
26	0.042911053	0.043122000	0.006031036
27	0.043261051	0.043472000	0.010288954
28	0.043703079	0.043923000	0.005890846
29	0.043471813	0.043693000	0.005951166
30	0.052408934	0.052620000	0.006422043
31	0.043370962	0.043592000	0.005851030
32	0.043210983	0.043422000	0.006351948
33	0.047099113	0.047319000	0.005990982
34	0.043653011	0.043863000	0.006081820
35	0.046496868	0.046718000	0.010379076
36	0.043751955	0.043963000	0.006151915
37	0.043723106	0.043953000	0.005970955
38	0.046929121	0.047140000	0.006161928
39	0.043421984	0.043642000	0.005971909
40	0.046576977	0.046799000	0.006222010
41	0.049071789	0.049283000	0.006111145
42	0.043873072	0.044093000	0.008636951
43	0.043562174	0.043773000	0.010240078
44	0.043982983	0.044194000	0.006262064
45	0.046588182	0.046808000	0.006462097
46	0.048821926	0.049032000	0.006061077
47	0.043200970	0.043412000	0.006161928
